Title,Condition,Buy Price,Author,Publisher,ISBN
The Time Machine/The War of the Worlds,Very Good,10.39,H.G. Wells,Random House Worlds,B001IP3E0E
"Judy Blume Boxed Set (Fudge-a-Mania, Otherwise Known as Sheila the Great, Tales of a Fourth Grade Nothing, Superfudge)",New,31.26,Judy Blume,Puffin Books,0142409065
The Complete Poetry and Selected Prose of John Donne,Good,8.29,John Donne,Random House Publishing Group,0375757341
They Came Like Swallows,Good,4.99,William Maxwell,Vintage,067977257X
Doctor Sax and the Great World Snake,Good,6.29,Jack Kerouac,Grove Press,0802130496
Red Sky at Morning,Very Good,5.79,Richard Bradford,Harper Perennial,0060931906
Darwin's Radio,Very Good,5.09,Greg Bear,Ballantine Books,0345435249
Dom Casmurro,Good,7.59,Machado de Assis,"Farrar, Straus and Giroux",0374523037
Rip Van Winkle and Other Stories,Good,5.59,Washington Irving,Puffin Books,0141330929
"If Not Now, When?: A Novel",Good,6.29,Primo Levi,Penguin Publishing Group,0140188932
Twice-Told Tales,Good,5.09,Nathaniel Hawthorne,Penguin Random House LLC (No Starch),0375757880
The Prime Minister,Good,7.89,Anthony Trollope,Penguin Classics,014043349X
The Evening Star,Good,6.09,Larry McMurtry,Simon & Schuster,0684857510
The Death of Grass,New,11.4,John Christopher,Syle Press,1911410008
El coronel no tiene quién le escriba,Good,6.49,Gabriel García Márquez,Harper Perennial,0060751576
Dawn's Early Light,Good,20.69,Elswyth Thane,Dutton Books,0801519578
The Crimson Fairy Book,Good,7.99,Andrew Lang,Dover Publications,048621799X
The Talísman,Good,7.29,Walter Scott,Everyman Paperback Classics,0460870882
The Towers of Trebizond,Good,5.69,Rose Macaulay,"Farrar, Straus and Giroux",0374533636
Alice Adams,Very Good,16.09,Booth Tarkington,1st World Library - Literary Society,1421811154
The Son of Tarzan,Acceptable,9.09,Edgar Rice Burroughs,CreateSpace Independent Publishing Platform,1547165898
The Hour of the Dragon,Acceptable,16.99,Robert E. Howard,Lancer Books,0441116795
The Collected Stories of Jean Stafford,Very Good,10.09,Jean Stafford,"Farrar, Straus and Giroux",0374529930
The Sojourner,Good,11.59,Marjorie Kinnan Rawlings,Dead Authors Society,177464083X
Stevenson's Works Vol. II Treasure Island & Kidnapped,New,35.33,"Charles Curtis Bigelow & Temple Stevenson, Robert Louis; Scott",Abbeville Press,0789214083
The Thanatos Syndrome,Good,6.89,Walker Percy,Picador USA,0312243324
Reflections in a Golden Eye,Good,6.39,Carson McCullers,Mariner Books Classics,0618084754
The Complete Saki,Good,11.19,Saki,Penguin Group,0141180781
Great Expectations / Oliver Twist / Tale of Two Cities,Good,6.89,Charles Dickens,Running Press Book Publishers,0762406720
Seven Novels,Good,7.59,Robert Louis Stevenson,Canterbury Classics,160710315X
"Gidget (Gidget series, #1)",Good,5.49,Frederick Kohner,Berkley Books,0425179621
Maigret and the Wine Merchant,Good,5.79,Georges Simenon,Penguin Books,0241304288
Llana of Gathol,Good,5.39,Edgar Rice Burroughs,Del Rey Books,0345278437
High Rising,New,16.83,Angela Thirkell,Virago Press (UK),B008S4FY0G
"The Hornblower companion;: An atlas and personal commentary on the writing of the Hornblower saga,",Good,5.79,C.S. Forester,US Naval Institute Press,1557503478
Billy Bathgate,Good,4.39,E.L. Doctorow,Random House Publishing Group,0812981170
Ansichten eines Clowns,Good,10.79,Heinrich Böll,Melville House Publishing,1935554174
Mississippi Writings,Good,5.59,Mark Twain,Library of America,0940450070
Cakes and Ale,Good,6.79,W. Somerset Maugham,Knopf Publishing Group,0375725024
Die Märchen von Hermann Hesse (The fairy tales of Hermann Hesse),Good,6.49,Hermann Hesse,Bantam,0553377760
Uncle Fred in the Springtime,Acceptable,7.19,P.G. Wodehouse,Overlook Press,158567527X
The Marble Faun,Good,7.79,Nathaniel Hawthorne,Oxford University Press,0199554072
Swan Lake,Very Good,5.49,Mark Helprin,Houghton Mifflin,0395498589
